id,school_name,program_name,faculty,required_subjects,minimum_points,duration,description,career_category,created_at,min_o_level_passes,min_a_level_passes,program_type,required_o_level_subjects,campus,min_required_subjects
71,University of Zimbabwe,BSc Computer Science,Science,"[""Mathematics"",""Physics""]",10,4 years,"Foundational degree in computing, algorithms and software development",Technology,1773752031,5,2,degree,,,
72,University of Zimbabwe,BSc Computer Information Systems,Commerce,"[""Mathematics"",""Accounts""]",10,4 years,Business-oriented IT degree combining computing with commerce,Technology,1773752031,5,2,degree,,,
73,University of Zimbabwe,MBChB Medicine & Surgery,Medicine,"[""Biology"",""Chemistry"",""Physics"",""Mathematics""]",15,5 years,"Full medical degree qualifying graduates as doctors. At least 3 of Biology, Chemistry, Physics, Mathematics.",Healthcare,1773752031,5,3,degree,,,3
74,University of Zimbabwe,LLB Bachelor of Laws,Law,"[""English Literature"",""History""]",10,4 years,Professional legal degree covering Zimbabwean and international law,Law,1773752031,5,2,degree,,,
75,University of Zimbabwe,BCom Accounting,Commerce,"[""Mathematics"",""Accounts""]",8,4 years,Professional accounting degree with ICAZ and ACCA exemptions,Business & Finance,1773752031,5,2,degree,,,
76,University of Zimbabwe,BSc Civil Engineering,Engineering,"[""Mathematics"",""Physics""]",12,5 years,Infrastructure and structural engineering degree,Engineering,1773752031,5,2,degree,,,
77,University of Zimbabwe,BSc Electrical Engineering,Engineering,"[""Mathematics"",""Physics""]",12,5 years,"Power systems, electronics and telecommunications engineering",Engineering,1773752031,5,2,degree,,,
78,University of Zimbabwe,BSc Agriculture,Agriculture,"[""Biology"",""Chemistry""]",8,4 years,"Crop science, animal science and agricultural economics",Agriculture,1773752031,5,2,degree,,,
79,University of Zimbabwe,BSc Psychology,Social Sciences,"[""Biology"",""English Literature""]",8,3 years,"Study of human behaviour, mental health and counselling",Social Sciences,1773752031,5,2,degree,,,
80,University of Zimbabwe,BA Journalism & Media Studies,Arts,"[""English Literature"",""History""]",8,3 years,"Media production, journalism ethics and communication theory",Media & Communication,1773752031,5,2,degree,,,
81,Bindura University of Science Education,BSc Computer Science,Science,"[""Mathematics"",""Physics""]",9,4 years,Computing degree with focus on science education integration,Technology,1773752031,5,2,degree,,,
82,Bindura University of Science Education,BEd Secondary Education (Mathematics),Education,"[""Mathematics"",""Physics""]",7,4 years,Train as a mathematics secondary school teacher,Education,1773752031,5,2,degree,,,
83,Bindura University of Science Education,BEd Secondary Education (Science),Education,"[""Biology"",""Chemistry""]",7,4 years,Train as a science secondary school teacher,Education,1773752031,5,2,degree,,,
84,Bindura University of Science Education,BSc Environmental Science,Science,"[""Biology"",""Geography""]",7,4 years,"Environmental management, conservation and sustainability",Agriculture,1773752031,5,2,degree,,,
85,Chinhoyi University of Technology,BEng Mechatronics,Engineering,"[""Mathematics"",""Physics""]",10,4 years,"Combination of mechanical, electrical and computing engineering",Engineering,1773752031,5,2,degree,,,
86,Chinhoyi University of Technology,BSc Information Technology,Technology,"[""Mathematics""]",8,4 years,"Practical IT degree covering networks, databases and software",Technology,1773752031,5,2,degree,,,
87,Chinhoyi University of Technology,BSc Agriculture,Agriculture,"[""Biology"",""Chemistry""]",7,4 years,Modern agricultural science and farm management,Agriculture,1773752031,5,2,degree,,,
88,National University of Science & Technology (NUST),BEng Civil Engineering,Engineering,"[""Mathematics"",""Physics""]",12,5 years,"Structural, geotechnical and highway engineering",Engineering,1773752031,5,2,degree,,,
89,National University of Science & Technology (NUST),BEng Electrical Engineering,Engineering,"[""Mathematics"",""Physics""]",12,5 years,"Power systems, control engineering and electronics",Engineering,1773752031,5,2,degree,,,
90,National University of Science & Technology (NUST),BSc Computer Science,Science,"[""Mathematics"",""Physics""]",10,4 years,Software engineering and computer systems at NUST,Technology,1773752031,5,2,degree,,,
91,National University of Science & Technology (NUST),BSc Nursing Science,Medicine,"[""Biology"",""Chemistry""]",8,4 years,Professional nursing degree training registered nurses,Healthcare,1773752031,5,2,degree,,,
92,Africa University,BBA Business Administration,Business,"[""Mathematics"",""Accounts""]",7,4 years,International business management and entrepreneurship,Business & Finance,1773752031,5,2,degree,,,
93,Africa University,BSc Computer Science,Science,"[""Mathematics""]",8,4 years,Computing science with an African development perspective,Technology,1773752031,5,2,degree,,,
94,Great Zimbabwe University,BEd Secondary Education (Commerce),Education,"[""Accounts"",""Commerce""]",7,4 years,Train as a commerce and accounts teacher,Education,1773752031,5,2,degree,,,
95,Great Zimbabwe University,BCom Tourism & Hospitality,Commerce,"[""Geography"",""English Literature""]",7,4 years,Tourism management and hospitality in Zimbabwe's rich heritage context,Business & Finance,1773752031,5,2,degree,,,
96,Great Zimbabwe University,BA Archaeology & Museum Studies,Humanities,"[""History"",""Geography""]",7,3 years,"Cultural heritage, museum curation and archaeological research",Social Sciences,1773752031,5,2,degree,,,
97,TelOne Centre for Learning,Bachelor of Engineering Honours Degree Telecommunications Engineering,Engineering,"[""Mathematics"",""Physics""]",,5 years,"A-Level Maths, Physics and a third science. 5 O-Levels inc English, Maths, Science.",Engineering,1773820276,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
98,TelOne Centre for Learning,Diploma in Telecommunications Engineering,Technology,[],,3 years,"HEXCO-certified. 5 O-Levels including English, Maths and a Science subject.",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
99,TelOne Centre for Learning,Diploma in Software Engineering,Technology,[],,3 years,"HEXCO-certified. 5 O-Levels including English, Maths and a Science subject.",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
100,TelOne Centre for Learning,Diploma in Cyber Security,Technology,[],,3 years,"HEXCO-certified. 5 O-Levels including English, Maths and a Science subject.",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
101,TelOne Centre for Learning,Diploma in Data Science,Technology,[],,3 years,"HEXCO-certified. 5 O-Levels including English, Maths and a Science subject.",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
102,TelOne Centre for Learning,Diploma in Computer Networking,Technology,[],,3 years,"HEXCO-certified. 5 O-Levels including English, Maths and a Science subject.",Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
103,TelOne Centre for Learning,Diploma in Business Analytics,Business,[],,3 years,HEXCO-certified. 5 O-Levels including English and Mathematics.,Business & Finance,1773820276,5,0,diploma,"[""English Language"",""Mathematics""]",Harare,
104,TelOne Centre for Learning,Diploma in Financial Engineering,Business,[],,3 years,HEXCO-certified. 5 O-Levels including English and Mathematics.,Business & Finance,1773820276,5,0,diploma,"[""English Language"",""Mathematics""]",Harare,
105,TelOne Centre for Learning,Diploma in Digital Marketing,Business,[],,3 years,HEXCO-certified. 5 O-Levels including English and Mathematics.,Business & Finance,1773820276,5,0,diploma,"[""English Language"",""Mathematics""]",Harare,
106,TelOne Centre for Learning,Diploma in Telecommunications Engineering,Technology,[],,3 years,HEXCO-certified. Bulawayo campus.,Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
107,TelOne Centre for Learning,Diploma in Software Engineering,Technology,[],,3 years,HEXCO-certified. Bulawayo campus.,Technology,1773820276,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
108,TelOne Centre for Learning,Diploma in Digital Marketing,Business,[],,3 years,HEXCO-certified. Bulawayo campus.,Business & Finance,1773820276,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
109,Harare Institute of Technology,BEng Industrial Engineering,Engineering,"[""Mathematics"",""Physics""]",11,4 years,"Process optimization, production planning and quality control",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
110,Harare Institute of Technology,BSc Information Security,Technology,"[""Mathematics"",""Physics""]",10,4 years,"Cybersecurity, ethical hacking and digital forensics",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
111,Harare Institute of Technology,BSc Biotechnology,Science,"[""Biology"",""Chemistry""]",9,4 years,"Molecular biology, genetic engineering and bioinformatics",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
112,Midlands State University,BSc Economics,Business,"[""Mathematics"",""Accounts""]",8,4 years,"Microeconomics, macroeconomics and quantitative methods",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Gweru,
113,Midlands State University,BSc Geography & Environmental Studies,Science,"[""Geography"",""Biology""]",7,4 years,"Climate change, land use planning and resource management",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Geography""]",Gweru,
